#
# Rates from 'La Poste Colissimo' from France / January 2017
#
# This file is part of the django-colissimo module
#
# Official docs:
#    http://www.colissimo.fr/particuliers/envoyer_un_colis/decouvrir_loffre_colissimo/Tarifs_colissimo/Tarifs_colissimo.jsp
# http://www.laposte.fr/Particulier/Consulter-nos-tarifs/Tarifs-Courrier

# This file is parsed by the 'genfixtures.py' script (in the same directory)
# which generates the initial fixture data to load into the database (using syncdb)
#
# Everything after a '#' is ignored (comments)
# Spaces between comas are ignored
# Lines starting with '::' must be a coma-separated line of values for (in this order):
#  model_name,fieldname1,fieldname2,...
#
# Author: Mathias Monnerville <mathias@monnerville.com>
#         Julien Maupetit <julien@maupetit.net> (2012 rates update)
#         Benjamin PIERRE <bp@kapt.mobi> (2013 update)
#         Benjamin PIERRE <bp@kapt.mobi> (2014 updates)
#         Benjamin PIERRE <bp@kapt.mobi> (2015 updates)
#         Benjamin PIERRE <bp@kapt.mobi> (2016 updates)
#         Benjamin PIERRE <bp@kapt.mobi> (2017 updates)

# All supported regions
::region,name
France - Monaco - Andore
Outre-mer OM1
Outre-mer OM2
International Zone A
International Zone B
International Zone C

# All compensation rates, prices in Euro
::recommanded,level,price
CR0,23 # 23E/kg
CR1,50
CR2,200
CR3,300
CR4,400
CR5,500
CR6,600
CR7,700
CR8,800
CR9,900
CR10,1000
ECO,23 # 23E/kg
LV, 0
LP, 0
LR1,16
LR2,153
LR3,458
LRA1,16
LRA2,153
LRA3,458


######################### Region: France, Monaco, Andorra ######################

# Region: France, Monaco, Andorra
# Colissimo France sans recommande CR0
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.25, 4.90,  0,1,1,1,1
0.5, 6.10,  0,1,1,1,1
0.75, 6.90,  0,1,1,1,1
  1, 7.50,  0,1,1,1,1
  2, 8.50,  0,1,1,1,1
  5,12.90,  0,1,1,1,1
 10,18.90,  0,1,1,1,1
 30,26.90,  0,1,1,1,1


# Region: France, Monaco, Andorra
# Colissimo France avec recommande CR1
::rate,weight,price,signature,deposit,tracking,region,recommanded
 0.25,8.7,1,1,1,1,2
0.5,9.9,1,1,1,1,2
0.75,10.7,1,1,1,1,2
  1,11.3,1,1,1,1,2
  2,12.3,1,1,1,1,2
  5,16.7,1,1,1,1,2
 10,22.7,1,1,1,1,2
 30,30.7,1,1,1,1,2


# Region: France, Monaco, Andorra
# Colissimo France avec recommande CR2
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.25,10.2,1,1,1,1,3
0.5,11.4,1,1,1,1,3
0.75,12.2,1,1,1,1,3
1,12.8,1,1,1,1,3
2,13.8,1,1,1,1,3
5,18.2,1,1,1,1,3
10,24.2,1,1,1,1,3
30,32.2,1,1,1,1,3


# Region: France, Monaco, Andorra
# Colissimo France avec recommande CR3
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.25,11.2,1,1,1,1,4
0.5,12.4,1,1,1,1,4
0.75,13.2,1,1,1,1,4
1,13.8,1,1,1,1,4
2,14.8,1,1,1,1,4
5,19.2,1,1,1,1,4
10,25.2,1,1,1,1,4
30,33.2,1,1,1,1,4


# Region: France, Monaco, Andorra
# Colissimo France avec recommande CR4
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.25,12.2,1,1,1,1,5
0.5,13.4,1,1,1,1,5
0.75,14.2,1,1,1,1,5
1,14.8,1,1,1,1,5
2,15.8,1,1,1,1,5
5,20.2,1,1,1,1,5
10,26.2,1,1,1,1,5
30,34.2,1,1,1,1,5


# Region: France, Monaco, Andorra
# Colissimo France avec recommande CR5
::rate,weight,price,signature,deposit,tracking,region,recommanded
0.25,13.2,1,1,1,1,6
0.5,14.4,1,1,1,1,6
0.75,15.2,1,1,1,1,6
1,15.8,1,1,1,1,6
